dataset,model,mae_mean,mae_std,rmse_mean,rmse_std
rossmann_full,arima,1547.589176556689,821.4999858574666,1928.7832128557172,977.000519809695
rossmann_full,baseline_ma,1522.7854666666667,654.2651351216116,1973.6445858491124,865.9757286777647
rossmann_full,xgboost,1032.5496398274738,387.9434943005414,1653.271985866053,719.119310157958
